group,n_wards,reg_voters,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,Total,
Conservative,13,435879,6496,1276,944,1665,1731,1465,2460,2703,2549,2656,5519,86109,115573,26.51%
Center-Conservative,12,396533,6616,917,575,1738,1602,1258,2109,2225,2027,1986,5006,76365,102424,25.83%
Center-Progressive,12,360466,6347,1096,768,1505,1292,1224,2010,2346,2454,2312,5104,81209,107667,29.87%
Progressive,13,362423,3887,874,605,1037,953,899,1584,1817,2169,2267,4705,75926,96723,26.69%
,,,23346,4163,2892,5945,5578,4846,8163,9091,9199,9221,20334,319609,422387,
%,,,,,,,,,,,,,,,,
Conservative,,,27.82%,30.65%,32.64%,28.01%,31.03%,30.23%,30.14%,29.73%,27.71%,28.80%,27.14%,26.94%,27.36%,
Center-Conservative,,,28.34%,22.03%,19.88%,29.23%,28.72%,25.96%,25.84%,24.47%,22.04%,21.54%,24.62%,23.89%,24.25%,
Center-Progressive,,,27.19%,26.33%,26.56%,25.32%,23.16%,25.26%,24.62%,25.81%,26.68%,25.07%,25.10%,25.41%,25.49%,
Progressive,,,16.65%,20.99%,20.92%,17.44%,17.08%,18.55%,19.40%,19.99%,23.58%,24.59%,23.14%,23.76%,22.90%,
,,,,,,,,,,,,,,,,
right,,,56.16%,52.68%,52.52%,57.24%,59.75%,56.19%,55.97%,54.21%,49.74%,50.34%,51.76%,50.84%,51.61%,
left,,,43.84%,47.32%,47.48%,42.76%,40.25%,43.81%,44.03%,45.79%,50.26%,49.66%,48.24%,49.16%,48.39%,
,,,,,,,,,,,,,,,,
cumulative,,,,,,,,,,,,,,,,
right,,,56.16%,55.64%,55.34%,55.65%,56.20%,56.20%,56.16%,55.89%,55.11%,54.58%,54.02%,51.61%,,
left,,,43.84%,44.36%,44.66%,44.35%,43.80%,43.80%,43.84%,44.11%,44.89%,45.42%,45.98%,48.39%,,
