ward,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-14,2026-03-15,2026-03-16,2026-03-17,Registered Voters
1,287,87,64,93,88,78,122,170,179,285,545,9560,36469
2,479,98,62,101,88,69,141,142,147,148,334,7278,32363
3,600,77,67,134,146,104,198,212,213,224,531,7683,32608
4,791,101,77,153,141,131,223,256,254,291,603,8010,31614
5,558,60,68,135,115,134,210,214,209,175,409,7431,26272
6,716,77,48,181,159,140,232,237,250,174,491,6470,30670
7,673,81,52,140,123,113,185,228,198,145,421,6039,30960
8,788,98,68,181,180,116,220,245,231,176,517,8417,34918
9,718,79,55,178,184,140,188,218,194,132,464,6874,35889
10,425,63,34,96,89,68,94,100,104,85,285,3149,28930
11,312,59,41,79,115,84,125,148,102,141,310,4174,27425
12,214,44,20,42,45,40,76,56,110,83,204,2577,21785
13,470,115,68,145,132,114,173,174,142,161,368,4547,31624
14,152,40,18,30,31,35,58,46,68,65,161,2488,20873
15,188,29,26,31,40,39,63,70,63,56,138,2319,20537
16,358,52,17,87,64,73,95,130,110,78,255,3137,24053
17,544,67,22,133,113,101,185,171,143,135,368,4864,31452
18,762,84,49,210,184,164,236,232,226,189,497,6534,36360
19,1026,142,117,256,270,250,365,441,369,203,832,9875,39725
20,454,39,23,81,80,98,139,135,137,117,322,4035,24102
21,803,91,74,274,192,161,268,271,214,191,569,8499,41725
22,205,36,19,46,55,22,69,74,67,71,127,2448,19828
23,275,59,33,98,87,76,97,97,97,126,246,3587,27379
24,601,178,86,81,63,45,89,107,158,104,229,3583,24192
25,246,55,40,47,36,50,108,101,90,91,285,4466,28716
26,261,41,27,70,66,52,99,119,150,168,370,5285,29521
27,456,89,42,104,106,65,112,122,113,142,363,6170,38254
28,352,47,36,56,78,45,132,104,104,139,242,4300,27170
29,601,68,54,157,170,127,211,194,182,194,453,5683,32786
30,285,70,54,79,71,69,117,139,141,149,307,5593,32447
31,196,39,27,63,53,29,86,75,108,104,243,3508,27001
32,298,86,73,110,99,86,178,217,205,255,474,9154,37242
33,348,88,73,93,86,92,128,176,229,235,446,7277,27644
34,388,60,47,80,52,47,94,109,117,173,300,5289,26670
35,272,86,48,79,60,76,113,138,186,222,390,7811,32447
36,228,47,34,70,57,47,72,104,143,127,315,5034,29869
37,508,52,35,133,109,88,138,148,139,114,316,4010,28549
38,474,75,80,126,149,122,190,163,214,197,349,5202,36769
39,483,109,99,143,172,117,237,235,308,237,447,7111,35438
40,504,139,119,165,136,134,258,263,338,357,620,9246,33498
41,628,105,81,170,171,144,261,285,219,96,476,5329,37224
42,455,64,54,90,60,58,97,111,80,125,232,6476,30872
43,585,125,84,123,120,98,168,207,183,217,428,8528,33948
44,359,106,58,126,98,86,167,229,200,260,501,10617,33939
45,458,113,49,120,133,128,192,221,273,249,453,7283,37518
46,522,110,72,151,128,129,196,240,285,285,611,11813,36194
47,565,166,141,196,145,155,297,390,362,445,734,13802,39035
48,619,130,120,183,144,149,237,296,363,347,647,12386,33236
49,416,112,48,104,125,110,185,281,292,284,590,8795,28500
50,440,125,89,122,170,148,239,250,190,454,516,5863,29061
