ward,group,prog_score
2,Conservative,-39.494318353254975
11,Conservative,-15.62849974179182
13,Conservative,-18.686129586442167
19,Conservative,-27.06266670900067
32,Conservative,-10.458706530997446
34,Conservative,-14.930801495820909
38,Conservative,-24.42646831340713
39,Conservative,-12.906307390890555
41,Conservative,-36.960957383299146
42,Conservative,-37.442725534272135
43,Conservative,-32.49660507398258
45,Conservative,-17.586270091982666
50,Conservative,-20.31655176632352
3,Center-Conservative,-3.973121899005436
8,Center-Conservative,1.5384040088669293
9,Center-Conservative,-0.9973761970054228
16,Center-Conservative,-1.516594291229682
17,Center-Conservative,-0.2223188423430925
18,Center-Conservative,0.3667562982363123
21,Center-Conservative,0.0446015905758656
23,Center-Conservative,-6.908584271739418
27,Center-Conservative,-2.3857544761023424
28,Center-Conservative,0.5426779525656373
29,Center-Conservative,-0.9691692239761373
44,Center-Conservative,-8.615228216597759
4,Center-Progressive,9.594108970574462
6,Center-Progressive,4.569108539389414
7,Center-Progressive,3.782455844833858
10,Center-Progressive,1.9397727546164096
15,Center-Progressive,10.647812516183103
20,Center-Progressive,11.448824082782169
24,Center-Progressive,8.444168868768855
30,Center-Progressive,5.708229652456611
37,Center-Progressive,1.5603018544677152
46,Center-Progressive,6.049423267701709
47,Center-Progressive,8.992830590026031
48,Center-Progressive,10.95561720508966
1,Progressive,24.160227492377324
5,Progressive,14.748315365990456
12,Progressive,23.625273794947628
14,Progressive,23.81816419356763
22,Progressive,36.95757555503388
25,Progressive,41.69144840744613
26,Progressive,35.88984322648837
31,Progressive,13.629583654493654
33,Progressive,24.594041368751707
35,Progressive,37.81648843531415
36,Progressive,14.895567696651373
40,Progressive,15.26728409979947
49,Progressive,26.975898551151857
