ward,registered,early_votes,election_day,total_votes,turnout_rate,ed_share,ev_share,ev_early_window,ev_late_window,ev_front_load,prog_score
2,32363,1809,7278,9087,0.2808,0.8009000000000001,0.1991,897,912,0.4959,-39.494318353254975
42,30872,1426,6476,7902,0.256,0.8195,0.1805,781,645,0.5477000000000001,-37.442725534272135
41,37224,2636,5329,7965,0.214,0.6690999999999999,0.3309,1299,1337,0.4928,-36.960957383299146
43,33948,2338,8528,10866,0.3201,0.7848,0.2152,1135,1203,0.4855,-32.49660507398258
19,39725,4271,9875,14146,0.35609999999999997,0.6981,0.3019,2061,2210,0.4826,-27.06266670900067
38,36769,2139,5202,7341,0.1997,0.7086,0.2914,1026,1113,0.4797,-24.426468313407135
50,29061,2743,5863,8606,0.2961,0.6812999999999999,0.3187,1094,1649,0.39880000000000004,-20.31655176632352
13,31624,2062,4547,6609,0.209,0.688,0.312,1044,1018,0.5063,-18.686129586442167
45,37518,2389,7283,9672,0.25780000000000003,0.753,0.247,1001,1388,0.419,-17.586270091982666
11,27425,1516,4174,5690,0.2075,0.7336,0.2664,690,826,0.4551,-15.628499741791819
34,26670,1467,5289,6756,0.25329999999999997,0.7829,0.21710000000000002,674,793,0.4594,-14.930801495820907
39,35438,2587,7111,9698,0.2737,0.7332,0.2668,1123,1464,0.4341,-12.906307390890555
32,37242,2081,9154,11235,0.3017,0.8148000000000001,0.1852,752,1329,0.3614,-10.458706530997446
44,33939,2190,10617,12807,0.3774,0.8290000000000001,0.171,833,1357,0.3804,-8.615228216597759
23,27379,1291,3587,4878,0.1782,0.7353000000000001,0.2647,628,663,0.4864,-6.908584271739418
3,32608,2506,7683,10189,0.3125,0.754,0.24600000000000002,1128,1378,0.4501,-3.9731218990054358
27,38254,1714,6170,7884,0.2061,0.7826000000000001,0.21739999999999998,862,852,0.5029,-2.3857544761023424
16,24053,1319,3137,4456,0.18530000000000002,0.7040000000000001,0.29600000000000004,651,668,0.4936,-1.5165942912296821
9,35889,2550,6874,9424,0.2626,0.7293999999999999,0.2706,1354,1196,0.531,-0.9973761970054227
29,32786,2411,5683,8094,0.2469,0.7021,0.2979,1177,1234,0.4882,-0.9691692239761371
17,31452,1982,4864,6846,0.2177,0.7105,0.2895,980,1002,0.49450000000000005,-0.22231884234309254
21,41725,3108,8499,11607,0.2782,0.7322,0.26780000000000004,1595,1513,0.5132,0.04460159057586565
18,36360,2833,6534,9367,0.2576,0.6976,0.3024,1453,1380,0.5129,0.36675629823631234
28,27170,1335,4300,5635,0.20739999999999997,0.7631,0.2369,614,721,0.45990000000000003,0.5426779525656373
8,34918,2820,8417,11237,0.3218,0.7490000000000001,0.251,1431,1389,0.5074000000000001,1.5384040088669293
37,28549,1780,4010,5790,0.2028,0.6926000000000001,0.3074,925,855,0.5196999999999999,1.5603018544677152
10,28930,1443,3149,4592,0.15869999999999998,0.6858,0.31420000000000003,775,668,0.5371,1.9397727546164099
7,30960,2359,6039,8398,0.2713,0.7191,0.2809,1182,1177,0.5011,3.782455844833858
6,30670,2705,6470,9175,0.2992,0.7051999999999999,0.2948,1321,1384,0.48840000000000006,4.569108539389414
30,32447,1481,5593,7074,0.218,0.7906,0.2094,628,853,0.424,5.708229652456611
46,36194,2729,11813,14542,0.4018,0.8123,0.1877,1112,1617,0.4075,6.049423267701709
24,24192,1741,3583,5324,0.22010000000000002,0.6729999999999999,0.327,1054,687,0.6053999999999999,8.444168868768855
47,39035,3596,13802,17398,0.4457,0.7933,0.20670000000000002,1368,2228,0.3804,8.992830590026031
4,31614,3021,8010,11031,0.3489,0.7261,0.27390000000000003,1394,1627,0.46140000000000003,9.594108970574462
15,20537,743,2319,3062,0.1491,0.7573000000000001,0.2427,353,390,0.47509999999999997,10.647812516183103
48,33236,3235,12386,15621,0.47,0.7929,0.2071,1345,1890,0.4158,10.95561720508966
20,24102,1625,4035,5660,0.2348,0.7129000000000001,0.2871,775,850,0.4769,11.448824082782169
31,27001,1023,3508,4531,0.1678,0.7742,0.22579999999999997,407,616,0.3978,13.629583654493654
5,26272,2287,7431,9718,0.3699,0.7646999999999999,0.2353,1070,1217,0.4679,14.748315365990456
36,29869,1244,5034,6278,0.2102,0.8018000000000001,0.19820000000000002,483,761,0.3883,14.895567696651371
40,33498,3033,9246,12279,0.3666,0.753,0.247,1197,1836,0.3947,15.26728409979947
12,21785,934,2577,3511,0.1612,0.7340000000000001,0.266,405,529,0.4336,23.625273794947628
14,20873,704,2488,3192,0.15289999999999998,0.7794,0.2206,306,398,0.4347,23.81816419356763
1,36469,1998,9560,11558,0.3169,0.8271,0.1729,697,1301,0.3488,24.160227492377324
33,27644,1994,7277,9271,0.3354,0.7848999999999999,0.2151,780,1214,0.3912,24.594041368751707
49,28500,2547,8795,11342,0.39799999999999996,0.7754000000000001,0.22460000000000002,915,1632,0.3592,26.975898551151857
26,29521,1423,5285,6708,0.22719999999999999,0.7879,0.2121,517,906,0.36329999999999996,35.88984322648837
22,19828,791,2448,3239,0.1634,0.7558,0.24420000000000003,383,408,0.4842,36.95757555503388
35,32447,1670,7811,9481,0.2922,0.8239,0.1761,621,1049,0.37189999999999995,37.81648843531415
25,28716,1149,4466,5615,0.1955,0.7954000000000001,0.2046,474,675,0.4125,41.69144840744613
