joinfield,score_generic,score_black,score_latino,se_generic,se_black,se_latino,n_races_generic,n_races_black,n_races_latino,n_labeled_generic,n_labeled_black,n_labeled_latino
CITY OF CHICAGO:WARD 01 PRECINCT 01,36.23,34.56,40.07,1.6,2.29,2.65,7,3,3,4047,1967,1441
CITY OF CHICAGO:WARD 01 PRECINCT 02,34.72,35.29,37.54,1.56,2.24,2.57,7,3,3,4271,2037,1548
CITY OF CHICAGO:WARD 01 PRECINCT 03,31.44,23.63,41.13,1.57,2.23,2.6,7,3,3,4330,2109,1530
CITY OF CHICAGO:WARD 01 PRECINCT 04,46.06,51.4,49.22,1.64,2.35,2.67,7,3,3,3828,1851,1430
CITY OF CHICAGO:WARD 01 PRECINCT 05,40.66,41.69,48.24,1.67,2.33,2.82,7,3,3,3807,1911,1272
CITY OF CHICAGO:WARD 01 PRECINCT 06,26.04,29.57,28.44,1.78,2.51,2.97,7,3,3,3331,1667,1158
CITY OF CHICAGO:WARD 01 PRECINCT 07,42.9,47.36,45.54,1.57,2.25,2.58,7,3,3,4282,2069,1532
CITY OF CHICAGO:WARD 01 PRECINCT 08,28.67,30.28,30.48,1.88,2.58,3.22,7,3,3,3050,1585,979
CITY OF CHICAGO:WARD 01 PRECINCT 09,25.91,21.26,33.75,2.32,3.29,3.88,7,3,3,1990,987,681
CITY OF CHICAGO:WARD 01 PRECINCT 10,18.79,25.7,18.09,1.75,2.27,3.07,7,3,3,3717,2096,1067
CITY OF CHICAGO:WARD 01 PRECINCT 11,34.1,33.84,38.8,1.81,2.51,3.06,7,3,3,3261,1658,1082
CITY OF CHICAGO:WARD 01 PRECINCT 12,25.49,26.52,30.62,2.45,3.43,4.06,7,3,3,1747,878,618
CITY OF CHICAGO:WARD 01 PRECINCT 13,20.4,27.91,17.91,2.0,2.76,3.34,7,3,3,2630,1350,906
CITY OF CHICAGO:WARD 01 PRECINCT 14,9.47,12.57,7.74,2.12,3.03,3.52,7,3,3,2369,1152,844
CITY OF CHICAGO:WARD 01 PRECINCT 15,11.26,18.27,4.7,1.79,2.39,3.07,7,3,3,3434,1868,1078
CITY OF CHICAGO:WARD 01 PRECINCT 16,14.51,16.91,13.44,1.7,2.34,2.86,7,3,3,3710,1930,1256
CITY OF CHICAGO:WARD 01 PRECINCT 17,16.49,20.41,13.07,2.26,3.02,3.92,7,3,3,2155,1161,661
CITY OF CHICAGO:WARD 01 PRECINCT 18,14.94,25.39,8.5,1.85,2.59,3.1,7,3,3,3154,1584,1081
CITY OF CHICAGO:WARD 01 PRECINCT 19,20.14,27.18,18.48,1.97,2.76,3.29,7,3,3,2776,1402,969
CITY OF CHICAGO:WARD 01 PRECINCT 20,10.13,15.36,2.28,2.18,2.74,3.87,7,3,3,2414,1401,683
CITY OF CHICAGO:WARD 01 PRECINCT 21,28.57,33.18,26.56,1.94,2.65,3.27,7,3,3,2817,1476,952
CITY OF CHICAGO:WARD 01 PRECINCT 22,16.13,22.64,12.77,1.74,2.35,2.98,7,3,3,3580,1908,1137
CITY OF CHICAGO:WARD 01 PRECINCT 23,17.81,19.67,17.34,2.41,3.33,4.05,7,3,3,1848,941,630
CITY OF CHICAGO:WARD 01 PRECINCT 24,11.35,12.51,12.94,1.64,2.22,2.82,7,3,3,4080,2200,1274
CITY OF CHICAGO:WARD 01 PRECINCT 25,12.11,13.02,17.3,1.65,2.33,2.78,7,3,3,3957,1945,1337
CITY OF CHICAGO:WARD 01 PRECINCT 26,10.85,5.75,18.65,1.76,2.41,2.98,7,3,3,3522,1845,1151
CITY OF CHICAGO:WARD 02 PRECINCT 01,-36.78,-38.74,-42.88,2.04,2.7,3.5,7,3,3,2672,1487,844
CITY OF CHICAGO:WARD 02 PRECINCT 02,-41.88,-42.24,-47.89,1.53,2.19,2.54,7,3,3,4583,2179,1694
CITY OF CHICAGO:WARD 02 PRECINCT 03,-22.33,-20.48,-27.69,2.31,3.16,4.01,7,3,3,2181,1104,714
CITY OF CHICAGO:WARD 02 PRECINCT 04,-37.51,-35.85,-45.58,2.07,2.93,3.48,7,3,3,2610,1255,923
CITY OF CHICAGO:WARD 02 PRECINCT 05,-46.94,-44.91,-54.83,1.8,2.63,2.99,7,3,3,3449,1523,1289
CITY OF CHICAGO:WARD 02 PRECINCT 06,-48.77,-50.78,-55.56,1.51,2.16,2.48,7,3,3,4749,2249,1797
CITY OF CHICAGO:WARD 02 PRECINCT 07,-45.37,-48.6,-52.52,1.64,2.36,2.7,7,3,3,4131,1946,1538
CITY OF CHICAGO:WARD 02 PRECINCT 08,-52.96,-57.39,-57.75,1.73,2.57,2.81,7,3,3,3640,1618,1423
CITY OF CHICAGO:WARD 02 PRECINCT 09,-47.78,-48.11,-54.41,1.55,2.26,2.56,7,3,3,4558,2101,1704
CITY OF CHICAGO:WARD 02 PRECINCT 10,-33.91,-38.49,-37.67,2.48,3.62,4.13,7,3,3,1856,846,681
CITY OF CHICAGO:WARD 02 PRECINCT 11,-34.9,-35.65,-43.23,2.02,2.78,3.36,7,3,3,2615,1345,916
CITY OF CHICAGO:WARD 02 PRECINCT 12,-26.93,-20.83,-37.92,2.0,2.93,3.27,7,3,3,2795,1308,1045
CITY OF CHICAGO:WARD 02 PRECINCT 13,-39.15,-36.98,-47.48,1.74,2.54,2.87,7,3,3,3888,1775,1462
CITY OF CHICAGO:WARD 02 PRECINCT 14,-34.5,-30.8,-42.25,2.33,3.19,3.97,7,3,3,2089,1107,664
