JoinField,jurisdiction,township,total_votes,pred_Fine,pred_Biss,pred_Abughazaleh,pred_Simmons,pred_Amiwala,pred_Andrew,pred_Huynh,actual_Fine,actual_Biss,actual_Abughazaleh,actual_Simmons,actual_Amiwala,actual_Andrew,actual_Huynh,err_Fine,err_Biss,err_Abughazaleh,err_Simmons,err_Amiwala,err_Andrew,err_Huynh
CITY OF CHICAGO:Ward 46 Precinct 20,CITY OF CHICAGO,,453.0,13.85638187106695,26.27223169226885,28.85012334414796,16.291201328564302,7.540941376173729,3.1555960745540816,2.9682990435047825,6.622516556291391,20.52980132450331,35.32008830022075,20.97130242825607,7.505518763796909,1.7660044150110374,7.28476821192053,7.23386531477556,5.7424303677655395,-6.469964956072793,-4.680101099691768,0.035422612376819984,1.3895916595430442,-4.316469168415747
CITY OF CHICAGO:Ward 40 Precinct 02,CITY OF CHICAGO,,423.0,15.55777708561826,27.7077340720778,24.32323222810881,10.903583254173071,10.030329211097916,9.03528462621136,1.3768342529934543,12.293144208037825,32.15130023640662,26.713947990543733,10.16548463356974,12.293144208037825,4.25531914893617,2.127659574468085,3.2646328775804356,-4.443566164328821,-2.3907157624349225,0.7380986206033313,-2.262814996939909,4.779965477275191,-0.7508253214746308
CITY OF CHICAGO:Ward 40 Precinct 03,CITY OF CHICAGO,,418.0,15.210329319561763,27.67148015727341,24.948684267309343,12.544492611902886,9.127764271152742,7.616785419931425,1.8152386831490916,9.569377990430622,27.751196172248804,35.645933014354064,12.440191387559809,6.698564593301436,1.9138755980861244,5.980861244019139,5.640951329131141,-0.07971601497539282,-10.697248747044721,0.10430122434307698,2.4291996778513063,5.7029098218453,-4.165622560870047
CITY OF CHICAGO:Ward 40 Precinct 04,CITY OF CHICAGO,,59.0,14.799941259240804,27.600777250800096,25.637524942799608,14.401294970900008,8.095443689700852,5.99387191388592,2.4059207029533902,8.47457627118644,27.11864406779661,28.8135593220339,13.559322033898304,18.64406779661017,3.389830508474576,0.0,6.325364988054364,0.4821331830034872,-3.1760343792342915,0.8419729370017031,-10.548624106909317,2.604041405411344,2.4059207029533902
CITY OF CHICAGO:Ward 40 Precinct 05,CITY OF CHICAGO,,271.0,15.557073249791154,27.705624924076712,24.32496945228627,10.900366312812984,10.03321146930109,9.036572135137828,1.3769571868746198,12.546125461254611,25.461254612546124,38.37638376383764,5.166051660516605,8.856088560885608,3.6900369003690034,5.904059040590406,3.0109477885365425,2.244370311530588,-14.051414311551369,5.734314652296379,1.1771229084154822,5.346535234768824,-4.527101853715786
CITY OF CHICAGO:Ward 40 Precinct 06,CITY OF CHICAGO,,314.0,15.557494769811369,27.70686115314086,24.324005223665807,10.902124408027362,10.03152342318482,9.035865244036644,1.3769005084138046,10.191082802547772,27.070063694267514,30.254777070063692,12.101910828025478,10.509554140127388,5.095541401273886,4.777070063694268,5.366411967263597,0.636797458873346,-5.930771846397885,-1.1997864199981159,-0.47803071694256793,3.9403238427627585,-3.4001695552804634
CITY OF CHICAGO:Ward 48 Precinct 08,CITY OF CHICAGO,,335.0,14.51393872693521,27.55970650872621,26.120141293089823,15.716714891661349,7.354650865048198,4.846251812175929,2.8233706326439547,16.119402985074625,34.02985074626866,25.37313432835821,12.835820895522387,5.3731343283582085,4.776119402985075,1.4925373134328357,-1.6054642581394152,-6.470144237542446,0.7470069647316144,2.880893996138962,1.9815165366899894,0.07013240919085373,1.330833319211119
CITY OF CHICAGO:Ward 48 Precinct 16,CITY OF CHICAGO,,316.0,13.81881563740267,26.19860573702629,29.01058889061944,16.322621854548512,7.549548594560717,3.057368678537088,2.9772253375859505,8.544303797468354,25.0,39.55696202531646,14.240506329113925,7.2784810126582276,1.2658227848101267,4.113924050632911,5.274511839934316,1.1986057370262913,-10.546373134697017,2.0821155254345864,0.27106758190248925,1.7915458937269615,-1.1366987130469606
CITY OF CHICAGO:Ward 48 Precinct 18,CITY OF CHICAGO,,453.0,13.872815720369932,26.304421777527825,28.786104135000578,16.276210647377294,7.534057672168643,3.195900351857273,2.965264425979122,7.28476821192053,20.750551876379692,43.4878587196468,15.011037527593817,9.933774834437086,2.4282560706401766,1.1037527593818985,6.588047508449402,5.553869901148133,-14.701754584646224,1.2651731197834764,-2.399717162268443,0.7676442812170965,1.8615116665972236
CITY OF CHICAGO:Ward 48 Precinct 22,CITY OF CHICAGO,,286.0,16.870278313024997,30.921210484749757,22.28250784243594,14.632119513424565,6.1926222815868375,5.258568932721328,2.7774673623372377,23.076923076923077,36.01398601398601,20.97902097902098,13.636363636363635,2.797202797202797,2.097902097902098,1.3986013986013985,-6.20664476389808,-5.092775529236256,1.3034868634149603,0.9957558770609296,3.3954194843840404,3.16066683481923,1.3788659637358391
CITY OF CHICAGO:Ward 48 Precinct 33,CITY OF CHICAGO,,186.0,15.389882878186231,28.21977337774815,25.479632421051814,15.618213450391082,6.919575656982008,4.526648961750954,2.781047984170447,13.440860215053762,46.774193548387096,22.58064516129032,15.053763440860216,0.0,0.5376344086021506,1.6129032258064515,1.9490226631324692,-18.554420170638945,2.898987259761494,0.5644500095308658,6.919575656982008,3.9890145531488037,1.1681447583639955
CITY OF CHICAGO:Ward 50 Precinct 01,CITY OF CHICAGO,,548.0,18.504694422993445,26.90212401183781,22.503367423679403,9.678210455475815,9.736711341176653,10.438232297574231,1.1714347775433158,78.64963503649635,10.948905109489052,3.4671532846715327,2.737226277372263,0.7299270072992701,2.18978102189781,1.2773722627737227,-60.144940613502904,15.953218902348757,19.03621413900787,6.940984178103552,9.006784333877382,8.248451275676421,-0.10593748523040691
CITY OF CHICAGO:Ward 50 Precinct 02,CITY OF CHICAGO,,393.0,18.502824044572574,26.89766517264288,22.504601960305816,9.67713607095344,9.742729744492951,10.43881419414114,1.171003543171868,58.269720101781175,23.40966921119593,7.888040712468193,3.307888040712468,1.7811704834605597,2.035623409669211,3.307888040712468,-39.7668960572086,3.487995961446952,14.616561247837623,6.369248030240971,7.9615592610323915,8.403190784471928,-2.1368844975406
CITY OF CHICAGO:Ward 50 Precinct 03,CITY OF CHICAGO,,313.0,17.017462981095814,30.35490832832292,21.19753394935225,9.944424507492748,9.306631929302691,9.738944842202734,1.3748681925115325,51.118210862619804,22.364217252396166,11.821086261980831,5.111821086261981,2.8753993610223643,5.431309904153355,1.2779552715654952,-34.100747881523986,7.990691075926755,9.376447687371417,4.832603421230767,6.431232568280327,4.30763493804938,0.09691292094603732
CITY OF CHICAGO:Ward 50 Precinct 04,CITY OF CHICAGO,,224.0,18.035227446625445,32.711301302207566,22.739514702299456,9.767515816526116,5.542044425675483,8.589273558121903,1.5498974788246858,15.625,33.482142857142854,28.125,8.928571428571429,8.482142857142858,4.017857142857143,1.3392857142857142,2.410227446625445,-0.7708415549352878,-5.385485297700544,0.8389443879546867,-2.9400984314673746,4.57141641526476,0.21061176453897157
CITY OF CHICAGO:Ward 50 Precinct 08,CITY OF CHICAGO,,318.0,15.556837928135648,27.70542545972865,24.32411910236572,10.902456416462268,10.0334591663656,9.035796730634187,1.3766799265885867,9.433962264150944,20.125786163522015,38.9937106918239,8.80503144654088,15.40880503144654,3.7735849056603774,3.459119496855346,6.122875663984704,7.579639296206636,-14.669591589458179,2.097424969921388,-5.375345865080941,5.26221182497381,-2.082439570266759
CITY OF CHICAGO:Ward 50 Precinct 13,CITY OF CHICAGO,,368.0,17.01581336049592,30.350803308284892,21.19929661289191,9.942094295595094,9.31215577508856,9.73997108871114,1.374640289213156,18.206521739130434,30.706521739130434,26.902173913043477,7.336956521739131,13.858695652173914,2.1739130434782608,0.8152173913043478,-1.1907083786345147,-0.3557184308455419,-5.702877300151567,2.6051377738559633,-4.546539877085355,7.56605804523288,0.5594228979088082
CITY OF CHICAGO:Ward 50 Precinct 15,CITY OF CHICAGO,,371.0,16.325016011213577,29.24343469220135,23.4025023121682,10.487047836549756,8.839944138522235,9.24460266321081,1.3922270764147608,12.668463611859837,30.997304582210244,28.30188679245283,7.816711590296496,12.129380053908356,4.8517520215633425,3.234501347708895,3.6565523993537408,-1.7538698900088932,-4.899384480284631,2.6703362462532603,-3.2894359153861217,4.392850641647467,-1.842274271294134
CITY OF CHICAGO:Ward 50 Precinct 17,CITY OF CHICAGO,,122.0,16.572350652527728,29.500552770734764,23.001292872958174,10.36128207011621,9.411557859574753,8.609806748203606,1.4779317561654144,24.59016393442623,21.311475409836063,30.327868852459016,6.557377049180328,13.934426229508196,0.819672131147541,2.459016393442623,-8.017813281898501,8.1890773608987,-7.326575979500841,3.8039050209358827,-4.522868369933443,7.790134617056065,-0.9810846372772086
CITY OF CHICAGO:Ward 50 Precinct 19,CITY OF CHICAGO,,127.0,15.554160527958969,27.698544832628965,24.32749398105702,10.897371491013502,10.042805690652518,9.0379699321225,1.37642827484719,5.511811023622047,28.346456692913385,38.582677165354326,8.661417322834646,17.322834645669293,0.7874015748031495,0.7874015748031495,10.042349504336922,-0.6479118602844203,-14.255183184297305,2.2359541681788553,-7.280028955016775,8.25056835731935,0.5890267000440406
CITY OF CHICAGO:Ward 50 Precinct 20,CITY OF CHICAGO,,133.0,14.897882297581551,26.440189185935427,27.03494818267128,11.523227848861064,10.181644699479554,7.322492548271875,1.534389967479911,10.526315789473683,33.08270676691729,27.819548872180448,5.263157894736842,18.796992481203006,3.007518796992481,1.5037593984962405,4.371566508107868,-6.642517580981863,-0.7846006895091691,6.260069954124222,-8.615347781723452,4.3149737512793935,0.03063056898367056
