joinfield,ward,model_leader,actual_leader,correct,precinct_mae,actual_margin,err_Paul Vallas,err_Brandon Johnson,err_Lori Lightfoot,err_Chuy García,err_Willie Wilson,err_Kam Buckner,err_Sophia King,err_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp
CITY OF CHICAGO:Ward 01 Precinct 01,Ward 1,Brandon Johnson,Brandon Johnson,True,6.233836123700713,25.411061285500747,-21.674140508221225,4.764243391614764,6.056167515053314,13.839217506899379,-1.6442451420029895,0.8928282400922715,0.028968831877184895,-0.9708778538445786,0.0501764396817536,0.1883385152908171,0.6626389417014856,0.0587824104013305,36.23
CITY OF CHICAGO:Ward 01 Precinct 02,Ward 1,Brandon Johnson,Brandon Johnson,True,6.054846381661064,27.90368271954674,-21.246458923512748,0.7445323283035099,6.292037971615076,16.778989280450855,-1.41643059490085,0.90620007137922,-0.029624323914704924,-1.0244975592115548,0.0432683897557544,0.2246463322753003,0.6176425601858555,0.0695829805621216,34.72
CITY OF CHICAGO:Ward 01 Precinct 03,Ward 1,Brandon Johnson,Brandon Johnson,True,8.80880064452596,10.561497326203211,-29.946524064171122,6.034928924718669,4.710258071696365,24.93501185469516,-1.6042780748663104,-0.2851881540671206,0.16086090865227476,-2.793355103340643,0.0257602724524885,0.344256881742744,0.5278031182437996,0.0657055562694993,31.44
CITY OF CHICAGO:Ward 01 Precinct 04,Ward 1,Brandon Johnson,Brandon Johnson,True,5.653464156499899,33.54735152487962,-15.08828250401284,-3.0490919849631593,6.968640319800739,16.03484990844855,-1.7656500802568218,-0.22331658885397856,0.32477792059911686,-1.773103945063985,0.0469147949185642,0.3686836827210315,0.4767157546197398,0.0642735633664444,46.06
CITY OF CHICAGO:Ward 01 Precinct 05,Ward 1,Brandon Johnson,Brandon Johnson,True,5.472893611942636,24.47761194029851,-19.25373134328358,5.757903655040836,6.136916265201988,10.668518166670163,-0.8955223880597015,-0.060235002742644456,0.016221435322778463,-0.9941006392194057,0.0243691196612275,0.2458323657036858,0.5638384155438353,0.0876055358663524,40.66
CITY OF CHICAGO:Ward 01 Precinct 06,Ward 1,Brandon Johnson,Brandon Johnson,True,6.264806541950989,16.442953020134226,-23.154362416107382,2.1914538377549695,6.166874092886671,13.74729425177833,-2.5167785234899327,-0.8265795842511071,0.6174962384546234,-0.8976133908848997,0.1476052843792296,0.3122971921329315,0.5172709695612552,0.0020683123581122,26.04
CITY OF CHICAGO:Ward 01 Precinct 07,Ward 1,Brandon Johnson,Brandon Johnson,True,6.745332771187323,40.32697547683924,-16.076294277929154,-6.341512567192986,10.604469408799572,16.741063364343102,-1.9073569482288828,0.31256475046296317,-0.44223190268335644,-1.5371689498585817,0.1171663336647525,0.245111800366261,0.5269110798722764,0.040219538589828,42.9
CITY OF CHICAGO:Ward 01 Precinct 08,Ward 1,Brandon Johnson,Brandon Johnson,True,7.543663187839999,18.5792349726776,-26.59380692167577,5.026943700949305,8.59887325673221,14.481028436001143,-2.0036429872495445,0.7843344777603973,0.8929384622496286,-1.967737260101999,0.061240881025392,0.1601111672336075,0.7095671983989835,0.0432818117157929,28.67
CITY OF CHICAGO:Ward 01 Precinct 09,Ward 1,Brandon Johnson,Brandon Johnson,True,8.12130907112227,12.849162011173181,-22.62569832402235,6.727189564414021,4.200200119392998,20.08932041205035,-7.262569832402235,-1.6632815146005422,0.49391636274536505,-1.9082964393503075,0.0572459397810638,0.3927746588062253,0.4064241250654331,0.0388442492573022,25.91
CITY OF CHICAGO:Ward 01 Precinct 10,Ward 1,Brandon Johnson,Brandon Johnson,True,7.273205733201462,12.384716732542817,-23.0944130358602,-2.316640807823428,6.006223759165088,20.07716780941141,-1.844532279314888,-2.915866380625845,-0.730793603302318,-1.200008190108518,0.0475414639142118,0.3298356161906541,0.5329246324457648,0.0546074373859767,18.79
CITY OF CHICAGO:Ward 01 Precinct 11,Ward 1,Brandon Johnson,Brandon Johnson,True,7.010627087653454,21.568627450980394,-20.14260249554367,7.078447231494817,2.9610961834194094,18.62277060411255,-4.09982174688057,-1.5497754027513104,-0.03132874441553017,-1.5991742926097703,0.0673094112708098,0.2668557634283304,0.5822825744425842,0.0436231218095683,34.1
CITY OF CHICAGO:Ward 01 Precinct 12,Ward 1,Brandon Johnson,Brandon Johnson,True,8.278489037265594,4.901960784313725,-29.73856209150327,11.210268363680626,11.82403509559603,7.630269539983011,-2.6143790849673203,-1.0445654435557499,-0.5057045771024054,-1.660128101736335,0.0689754631094902,0.1342630147077391,0.656855553235561,0.1023997513763565,25.49
CITY OF CHICAGO:Ward 01 Precinct 13,Ward 1,Brandon Johnson,Brandon Johnson,True,5.505199075879468,16.844349680170577,-22.093130293898295,-0.3376569908376148,5.302785343261348,13.375414782742922,-2.345415778251599,0.3574250259029587,-0.22963957580482489,-0.00012481633618246363,0.0277992719615626,0.1316137909745558,0.7306618838184052,0.0819829435325781,20.4
CITY OF CHICAGO:Ward 01 Precinct 14,Ward 1,Brandon Johnson,Brandon Johnson,True,3.2701388577778534,2.8235294117647083,-2.7154420849474556,4.093439450759956,2.042774530354241,3.781126091962603,-8.470588235294118,-1.548498615788068,-0.4553255985357919,-3.053916254580591,0.1030073760911988,0.1365292106886616,0.65907619654343,0.0439355262501682,9.47
CITY OF CHICAGO:Ward 01 Precinct 15,Ward 1,Brandon Johnson,Brandon Johnson,True,4.945064354200674,4.938271604938277,-13.756190302618851,-4.339146598068244,4.109702836247749,12.133997984030184,-2.6234567901234565,-1.2890640340982764,0.4471600927287361,-0.8617961956898998,0.0515450885865679,0.1644739449394001,0.6932514812007323,0.0611077796246023,11.26
CITY OF CHICAGO:Ward 01 Precinct 16,Ward 1,Brandon Johnson,Brandon Johnson,True,5.775517119818744,3.9473684210526327,-20.72969369411864,-1.418513061592963,2.5508899148321467,17.502052642460043,-1.3157894736842104,-0.9537336280379511,-0.35015385533772714,-1.3833106884862638,0.0301467239918775,0.2270436097057664,0.6376999969116848,0.0347078547049239,14.51
CITY OF CHICAGO:Ward 01 Precinct 17,Ward 1,Brandon Johnson,Brandon Johnson,True,5.8878803199219085,6.097560975609756,-20.49904642663333,5.297604575128501,5.147010389649393,10.019573521744508,-1.707317073170732,-4.059741625179168,0.05724987883630895,-0.31549906903333097,0.0465261063218145,0.0846687303715181,0.7968713091882291,0.0423588700410248,16.49
CITY OF CHICAGO:Ward 01 Precinct 18,Ward 1,Brandon Johnson,Brandon Johnson,True,5.7775435092675735,11.313868613138684,-19.441821879435235,-2.4782155297122577,5.305059970188282,14.635047444966915,-1.2773722627737227,-2.3434577471282734,0.1272435460753625,-0.6121296938605326,0.0159926302137719,0.144013551089912,0.7191024399912432,0.0501943508632642,14.94
CITY OF CHICAGO:Ward 01 Precinct 19,Ward 1,Brandon Johnson,Brandon Johnson,True,6.854908858130529,12.040816326530612,-24.360525016755552,6.963767495992407,6.629641088930356,10.828845123545175,-2.6530612244897958,-2.4098420034555375,-0.009972015727646028,-0.9836168961477598,0.0057718333313841,0.1152969601741497,0.7201195086319249,0.0599191877803543,20.14
CITY OF CHICAGO:Ward 01 Precinct 20,Ward 1,Brandon Johnson,Brandon Johnson,True,3.283122798850752,0.4073319755600824,-13.227881177192865,0.8209032479719047,3.4605104587969575,5.672361021364966,-1.2219959266802443,0.032274935447536984,-1.121914027212888,-0.7071415961386552,0.0362869843607883,0.0374879279842983,0.7520481365414936,0.1032512132724021,10.13
CITY OF CHICAGO:Ward 01 Precinct 21,Ward 1,Brandon Johnson,Brandon Johnson,True,8.538822090364274,16.363636363636363,-24.848484848484848,6.065202798785668,10.33423291931829,17.592697517934276,-2.4242424242424243,-4.067284741158938,-0.3184885323351122,-2.659942940654642,0.0317681523772639,0.2067985285627052,0.6891978167187047,0.0413793526493201,28.57
CITY OF CHICAGO:Ward 01 Precinct 22,Ward 1,Brandon Johnson,Brandon Johnson,True,5.895089770372074,10.153846153846152,-20.572739250600467,1.29596654649628,3.074272185648569,15.133122404943899,-2.923076923076923,-1.3478906321467914,1.0251672842543722,-1.7884829358092915,0.007617593076167,0.1479950576943657,0.6684525933653545,0.0351859095497607,16.13
CITY OF CHICAGO:Ward 01 Precinct 23,Ward 1,Brandon Johnson,Brandon Johnson,True,8.362881004987106,1.2307692307692297,-32.12242174064384,-1.6557203688557953,22.97056371688567,2.629978202134532,-1.0849117435690163,-2.719917882877166,1.6792091756344343,2.040325209296385,0.3260285104786777,0.0489758275814945,0.4154143025968417,0.0867892659205147,17.81
CITY OF CHICAGO:Ward 01 Precinct 24,Ward 1,Brandon Johnson,Paul Vallas,False,4.999866907414073,2.007528230865746,-20.25142405991265,0.2591742713146772,2.191437744220856,14.092061629239147,-2.132998745294856,0.36153845728035505,-0.26696594208998997,-0.4433344099600525,0.0335851964920939,0.2263927737367702,0.600925719529194,0.0932022458359717,11.35
CITY OF CHICAGO:Ward 01 Precinct 25,Ward 1,Brandon Johnson,Paul Vallas,False,6.0673451391306585,6.911764705882351,-22.467138038168432,3.577474619987636,8.370705436675896,8.288399002889701,-3.2352941176470593,-0.9151831672196041,0.9139940155514747,-0.7705727149054676,0.0705901236352429,0.1771469161075142,0.6033078837100389,0.112523320446114,12.11
CITY OF CHICAGO:Ward 01 Precinct 26,Ward 1,Brandon Johnson,Paul Vallas,False,5.785930961357732,7.71558245083207,-19.444399722655774,2.536027947248437,1.9216090689496743,15.141989621222846,-1.6641452344931922,-3.0783702465133884,0.4575786349255019,-2.043327214853046,0.018308858115536,0.2010731772966847,0.6582504343641454,0.0526400114057651,10.85
CITY OF CHICAGO:Ward 02 Precinct 01,Ward 2,Paul Vallas,Paul Vallas,True,8.989752996172799,43.879472693032014,21.695789299732137,-9.6045197740113,-14.312617702448211,-9.227871939736348,14.199677577651274,-1.6668393828798405,0.5466058439797942,-0.6641024489434952,0.0784605543442141,0.1148363685526126,0.5397348553553736,0.2351147460529493,-36.78
CITY OF CHICAGO:Ward 02 Precinct 02,Ward 2,Paul Vallas,Paul Vallas,True,8.114672377747265,51.889168765743065,13.405009598840302,-10.70528967254408,-11.083123425692696,-7.178841309823677,20.00077466008667,-1.6225750253469209,-0.7896317179451816,0.13213361169860383,0.0217641874364068,0.1121834800993785,0.5256224864839482,0.3158819244904527,-41.88
CITY OF CHICAGO:Ward 02 Precinct 03,Ward 2,Paul Vallas,Paul Vallas,True,9.719423246354175,36.090225563909776,26.36808172696079,-13.998802962419854,-11.779448621553884,-11.192311028013775,10.172237662254311,-3.280240025520382,-0.6674433034300006,-0.29682064068040037,0.0067932881698885,0.0526515696685347,0.5419495973947233,0.3607760143529412,-22.33
CITY OF CHICAGO:Ward 02 Precinct 04,Ward 2,Paul Vallas,Paul Vallas,True,9.675583554556578,41.628959276018094,20.55683772984933,-10.85972850678733,-15.384615384615385,-8.597285067873303,18.9967741846153,-2.708942772353344,-0.035700932537383566,-0.26478385782125097,0.0178186147594767,0.0453811845865119,0.5608709964062346,0.3426994014414846,-37.51
